Shelf_ID;RIN;IP;Slot_ID;Slot_Name;Slot_Main_Mode;Slot_State;Slot_Alarm;Slot_Prop_Alarm;Port_ID;Port_Main_Mode;Port_State;Port_Alarm;Port_User_Label;Port_Service_Label;Port_Description;OperationalStatus;NearEnd_CurrentAttenuation;NearEnd_CurrentMargin;NearEnd_CurrentPowerBackOff;FarEnd_CurrentAttenuation;FarEnd_CurrentMargin;FarEnd_CurrentPowerBackOff
JAI-A01-0 ;62;10.211.193.61;unit-16;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;Cliente:CL_CHURRASCARIA;Designador:JAI-301JAT7TR-032;"";Down;128;127;255;128;127;255
JAI-A01-0 ;62;10.211.193.61;unit-16;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Major;CLIENTE_RDA COMERCIO;JAI-301KAM423-032;"";Down;128;127;255;128;127;255
JAI-A01-0 ;62;10.211.193.61;unit-16;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-3;port-3;"";Cleared;Cliente:BYPACKING INDUSTRIA;Designador:JAI-301H7DE0X-032;"";Up;12;23;0;12;20;0
JAI-A01-0 ;62;10.211.193.61;unit-16;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-4;port-4;"";Cleared;"";"";"";Up;6;23;3;6;20;4
JAI-A01-0 ;62;10.211.193.61;unit-16;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-5;port-5;"";Cleared;Cliente:COMERCIO DE VEICULOS;Designador:JAI-301D1VHDE-032;"";Down;128;127;255;128;127;255
JAI-A01-0 ;62;10.211.193.61;unit-16;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-6;port-6;"";Cleared;Cliente:BYPACKING INDUSTRIA;Designador:JAI-301H7DDZV;"";Up;11;21;0;12;20;2
JAI-A01-0 ;62;10.211.193.61;unit-16;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-7;port-7;"";Cleared;Cliente:COMERCIO DE VEICULOS;Designador:JAI-301F1VHCE;"";Down;128;127;255;128;127;255
JAI-A01-0 ;62;10.211.193.61;unit-16;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-8;port-8;"";Cleared;Cliente:LOCALIZA RENT A CAR;Designador:JAI-301AA6MC1;"";Up;5;23;3;4;21;4
JAI-A01-0 ;62;10.211.193.61;unit-21;STIM1 R1A;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;Cliente:RS STORANI;Designador:JAI-301GJQB9F-032;"";Up;8;21;2;8;21;4
JAI-A01-0 ;62;10.211.193.61;unit-21;STIM1 R1A;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Cleared;THEOTO S A INDUSTRIA E COMERCIO;WO 10094092;JAI-30T3LIVX-032;Up;6;20;3;6;20;4
JAI-A01-0 ;62;10.211.193.61;unit-21;STIM1 R1A;stim1_r4d07;Ok;Cleared;Major;logport-3;port-3;"";Cleared;ATUI & BISCOLO;WO 10439102;JAI-30UZEE15-032;Up;2;21;4;4;20;5
JAI-A01-0 ;62;10.211.193.61;unit-21;STIM1 R1A;stim1_r4d07;Ok;Cleared;Major;logport-4;port-4;"";Cleared;COFERTRANS COMERCIAL LTDA - EPP;WO 10511311;JAI-30UOWOKQ-032;Up;12;19;0;12;20;2
JAI-A01-0 ;62;10.211.193.61;unit-21;STIM1 R1A;stim1_r4d07;Ok;Cleared;Major;logport-5;port-5;"";Cleared;Cliente: ETHICS SERVICOES;Designador: JAI-30X41937-032;"";Up;9;19;1;10;21;3
JAI-A01-0 ;62;10.211.193.61;unit-21;STIM1 R1A;stim1_r4d07;Ok;Cleared;Major;logport-6;port-6;"";Major;Cliente: BANCO_VOTORANTIM;Designador: JAI-3011VI6MM-032;"";Down;128;127;255;128;127;255
JAI-A01-0 ;62;10.211.193.61;unit-21;STIM1 R1A;stim1_r4d07;Ok;Cleared;Major;logport-7;port-7;"";Cleared;Cliente: SIQ_SISTEMAS_DE_INFO;Designador: JAI-30153DWSZ-032;"";Up;11;21;0;12;20;2
JAI-A01-0 ;62;10.211.193.61;unit-21;STIM1 R1A;stim1_r4d07;Ok;Cleared;Major;logport-8;port-8;"";Cleared;Cliente:CIDADE VICENTINA FRE;Designador:JAI-30194QCMN-032;"";Up;8;22;2;8;21;4
JAI-A01-5 ;65;10.211.193.64;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Cleared;logport-1;port-1;"";Cleared;Cliente:BASE SEGMENTO;Designador:JAI-301HOH8GW-032;"";Up;11;22;0;10;20;2
JAI-A01-5 ;65;10.211.193.64;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Cleared;logport-2;port-2;"";Cleared;Cliente:JUNDTRACTOR PECAS PA;Designador:JAI-301IK32MZ-032;"";Up;10;22;1;10;20;2
JAI-A01-5 ;65;10.211.193.64;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Cleared;logport-3;port-3;"";Cleared;Cliente:DIRETIVA-ENGENHARIA;Designador:JAI-301IK20D3-032;"";Up;11;19;0;10;20;2
JAI-A01-5 ;65;10.211.193.64;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Cleared;logport-4;port-4;"";Cleared;CENTRO INTEGRADO DE ORTOPEDIA;JAI-301K9SHGV-032;"";Up;4;22;4;4;20;0
JAI-A01-5 ;65;10.211.193.64;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Cleared;logport-5;port-5;"";Cleared;Cliente:INTERCOR ASSESSORIA;Designador:JAI-301JJ7HUJ-032;"";Up;4;24;3;4;21;5
JAI-A01-5 ;65;10.211.193.64;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Cleared;logport-6;port-6;"";Cleared;IBBCA 2008 GEST?O;JAI-301K6PMVR-032;"";Up;13;23;0;12;20;0
JAI-A01-5 ;65;10.211.193.64;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Cleared;logport-7;port-7;"";Cleared;Cliente:SENSE;Designador:JAI-301I6KJQR-032;"";Up;10;21;0;10;20;2
JAI-A01-5 ;65;10.211.193.64;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Cleared;logport-8;port-8;"";Cleared;"";"";"";Up;11;20;0;12;20;2
JAI-A02-0 ;54;10.211.193.53;unit-16;STIM1 R1B;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;GAFISA S/A;WO 11124662;JAI-30YVLB1E;Down;128;127;255;128;127;255
JAI-A02-0 ;54;10.211.193.53;unit-16;STIM1 R1B;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Cleared;GAFISA S/A;WO 11124812;JAI-30YVLAZS;Down;128;127;255;128;127;255
JAI-A02-0 ;54;10.211.193.53;unit-16;STIM1 R1B;stim1_r4d07;Ok;Cleared;Major;logport-3;port-3;"";Major;Cliente:SPCIA 02 - EMPREENDIMENTO IMOBILIARIO LTDA;Designador: JAI-301JJK84T-032;"";Down;128;127;255;128;127;255
JAI-A02-0 ;54;10.211.193.53;unit-16;STIM1 R1B;stim1_r4d07;Ok;Cleared;Major;logport-4;port-4;"";Cleared;Cliente: RH_INFINITY;Designador: JAI-301106WAR-032;"";Down;128;127;255;128;127;255
