Shelf_ID;RIN;IP;Slot_ID;Slot_Name;Slot_Main_Mode;Slot_State;Slot_Alarm;Slot_Prop_Alarm;Port_ID;Port_Main_Mode;Port_State;Port_Alarm;Port_User_Label;Port_Service_Label;Port_Description;OperationalStatus;NearEnd_CurrentAttenuation;NearEnd_CurrentMargin;NearEnd_CurrentPowerBackOff;FarEnd_CurrentAttenuation;FarEnd_CurrentMargin;FarEnd_CurrentPowerBackOff
SOC-A01-0 ;166;10.211.225.165;unit-16;STIM1 R1B;stim1_r4d07;Ok;Cleared;Cleared;logport-1;port-1;"";Cleared;CENTER PECAS FABBRI LTDA;SOC-3013QFACL;VPN MPLS;Up;3;24;4;2;21;0
SOC-A01-0 ;166;10.211.225.165;unit-16;STIM1 R1B;stim1_r4d07;Ok;Cleared;Cleared;logport-3;port-3;"";Cleared;"";"";"";Up;4;24;4;4;21;5
SOC-A01-0 ;166;10.211.225.165;unit-16;STIM1 R1B;stim1_r4d07;Ok;Cleared;Cleared;logport-4;port-4;"";Cleared;CENTER PECAS FABBRI LTDA;SOC-3013QFACL;VPN 1024;Up;17;18;0;18;10;0
SOC-A01-0 ;166;10.211.225.165;unit-16;STIM1 R1B;stim1_r4d07;Ok;Cleared;Cleared;logport-5;port-5;"";Cleared;Cliente:SERVICOS_DE_OBRAS;Designador: SOC-301-032;"";Up;14;20;0;14;20;1
SOC-A01-0 ;166;10.211.225.165;unit-16;STIM1 R1B;stim1_r4d07;Ok;Cleared;Cleared;logport-6;port-6;"";Cleared;"";"";"";Up;14;20;0;14;20;0
SOC-A01-0 ;166;10.211.225.165;unit-16;STIM1 R1B;stim1_r4d07;Ok;Cleared;Cleared;logport-8;port-8;"";Cleared;AREA ELETRICA;SOC-3017E3L6G-032;OS: 12583558;Up;3;23;4;4;20;5
SOC-A01-0 ;166;10.211.225.165;unit-18;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;"";"";"";Down;128;127;255;128;127;255
SOC-A01-0 ;166;10.211.225.165;unit-18;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Cleared;"";"";"";Down;128;127;255;128;127;255
SOC-A01-0 ;166;10.211.225.165;unit-18;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-4;port-4;"";Cleared;Cliente:VALID SOLUCOES;Designador:SOC-301A7VPHB;"";Down;128;127;255;128;127;255
SOC-A01-0 ;166;10.211.225.165;unit-18;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-5;port-5;"";Cleared;"";"";"";Down;128;127;255;128;127;255
