Shelf_ID;RIN;IP;Slot_ID;Slot_Name;Slot_Main_Mode;Slot_State;Slot_Alarm;Slot_Prop_Alarm;Port_ID;Port_Main_Mode;Port_State;Port_Alarm;Port_User_Label;Port_Service_Label;Port_Description;OperationalStatus;NearEnd_CurrentAttenuation;NearEnd_CurrentMargin;NearEnd_CurrentPowerBackOff;FarEnd_CurrentAttenuation;FarEnd_CurrentMargin;FarEnd_CurrentPowerBackOff
VRP-A04-0 ;29;10.211.193.108;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-7;port-7;"";Cleared;"";"";"";Up;8;24;2;8;21;4
VRP-A05-0 ;32;10.211.193.133;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;TRANSVARZEA - VOX;VRP-301JZYB30-032;"";Up;6;23;3;6;20;4
VRP-A05-0 ;32;10.211.193.133;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Cleared;Cliente: TRANSPORTADORA;Designador:VRP-301JZYBA4;"";Up;7;23;3;6;21;4
VRP-A06-0 ;33;10.211.193.134;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-1;port-1;"";Cleared;POLLO COMERCIO DE PE?AS;WO - 16882225;VRP-301K7DSZ-032;Up;7;25;2;8;20;0
VRP-A06-0 ;33;10.211.193.134;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-3;port-3;"";Cleared;Cliente: UNITUBOS;Designador: VRP-301KEG84J-032;"";Up;10;21;0;10;20;0
VRP-A07-0 ;36;10.211.193.135;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Major;Cliente:EYFEO USINAGEM;"";"";Down;128;127;255;128;127;255
VRP-A07-0 ;36;10.211.193.135;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Cleared;Cliente: EPLAST;"";"";Up;6;23;3;6;20;4
VRP-A07-0 ;36;10.211.193.135;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Major;logport-3;port-3;"";Cleared;MARQUES CAR;VRP-301JTOBCV-032;"";Up;3;23;5;4;20;6
VRP-A07-0 ;36;10.211.193.135;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Major;logport-4;port-4;"";Major;CLIENTE_COMERCIO DE VEICULOS;DESIGNADOR_VRP-301KCNVKJ-032;"";Down;128;127;255;128;127;255
VRP-A07-0 ;36;10.211.193.135;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Major;logport-5;port-5;"";Major;Cliente:COMERCIO VEICULOS;Designador: VRP-301KCO43J;"";Down;128;127;255;128;127;255
VRP-A08-0 ;37;10.211.193.136;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Minor;logport-1;port-1;"";Cleared;Cliente: ESCRITORIO CONTABIL PASQUALINO;"";"";Up;8;23;2;8;21;3
VRP-A08-0 ;37;10.211.193.136;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Minor;logport-2;port-2;"";Cleared;"Cliente; SILVIA PASSOS CORRETOR";VRP-301J3VIXR-032;"";Up;8;23;2;8;20;3
VRP-A08-0 ;37;10.211.193.136;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Minor;logport-4;port-4;"";Cleared;CLIENTE_LUMAUTO;DESIGNADOR_VRP-301KE89JV-032;"";Up;4;21;4;4;20;0
VRP-A08-0 ;37;10.211.193.136;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Minor;logport-5;port-5;"";Cleared;CLI: HIT_WORLD_TELECOMUNICACOES;DEG: VRP-301JP4ESP;"";Up;4;22;4;4;20;5
VRP-A08-0 ;37;10.211.193.136;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Minor;logport-8;port-8;"";Cleared;"";"";"";Up;6;24;3;6;21;0
VRP-A09-0 ;38;10.211.193.137;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-1;port-1;"";Cleared;RBW-COMERCIAL;"";VRP-301IXOB7N-032;Up;4;22;4;4;21;6
VRP-A09-0 ;38;10.211.193.137;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-2;port-2;"";Cleared;KEEPER AUTO POSTO;"";VRP-301JA5UXJ-032;Up;8;22;2;8;20;3
VRP-A09-0 ;38;10.211.193.137;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-3;port-3;"";Cleared;Cliente:NITRAN DE OFESANA;Designador:VRP-301JIGX4V-032;"";Up;9;22;1;10;20;3
